127.0.0.1 - - [22/Dec/2023:13:29:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:29:44 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:33:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:33:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:33:14 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:36:27 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:36:27 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:36:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:36:55 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:36:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:44:26 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 17531
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:44:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:49:58 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:49:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:50:01 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 17531
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:50:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:55:43 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [22/Dec/2023:13:55:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:14:31:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:14:36:39 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7401
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:16:17 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:18:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:18:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:19:32 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:23:03 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:23:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:23:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:24:26 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:24:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:33:42 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15741
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:33:42 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:34:16 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:36:31 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:36:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:36:39 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 20305
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:36:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:49:24 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:49:28 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7401
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:53:09 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:53:09 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:53:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:54:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:55:14 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:55:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:55:33 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 17531
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:55:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:55:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:55:53 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17745
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:55:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Dec/2023:15:55:54 +0530] "GET /project_3/img/book_shelf.jpg HTTP/1.1" 200 3829586
0:0:0:0:0:0:0:1 - - [22/Dec/2023:16:28:24 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 7429
